,BE,IT,FR,ES,PL,NL,DE
2025-01-01,131.77885,121.17465,123.169365,122.57,150.61319,133.12962,129.09854
2025-02-01,133.19249,121.42726,123.77838,122.925476,150.61319,133.60152,129.31122
2025-03-01,133.19249,122.014595,123.59696,122.62485,150.6109,133.7736,129.98146
2025-04-01,133.19249,122.37187,123.77838,122.47531,150.61581,134.09392,129.74693
2025-05-01,133.19249,122.573555,123.77838,122.45771,150.61581,133.10284,130.02953
2025-06-01,133.19249,122.770325,123.77838,122.48121,150.61823,133.78015,129.78036
2025-07-01,133.19249,122.24996,123.77838,122.46122,150.624,134.07094,130.0332
2025-08-01,133.90785,121.824745,123.8276,122.46122,150.624,133.21347,129.78036
2025-09-01,133.90785,122.90566,123.522484,122.46122,150.69012,133.81131,130.03647
2025-10-01,133.90785,122.99046,123.5847,122.42303,150.69025,133.9229,129.77023
2025-11-01,133.90785,122.858696,123.51188,122.27826,150.78647,132.48999,130.18228
2025-12-01,134.04883,122.99528,123.58105,122.29173,150.84418,132.92352,129.77267
